Type, N, Time(ms)
DIV,1000,6.57215
THE_WOR_DIV,1000,6.57215
THE_BES_DIV,1000,6.57215
DIV,2000,12.4672
THE_WOR_DIV,2000,14.4632
THE_BES_DIV,2000,7.2316
DIV,3000,19.2023
THE_WOR_DIV,3000,22.8522
THE_BES_DIV,3000,11.4261
DIV,4000,25.5153
THE_WOR_DIV,4000,31.5644
THE_BES_DIV,4000,15.7822
DIV,5000,30.6207
THE_WOR_DIV,5000,40.517
THE_BES_DIV,5000,20.2585
DIV,6000,46.5067
THE_WOR_DIV,6000,49.6612
THE_BES_DIV,6000,24.8306
DIV,7000,45.332
THE_WOR_DIV,7000,58.9646
THE_BES_DIV,7000,29.4823
DIV,8000,48.5675
THE_WOR_DIV,8000,68.4045
THE_BES_DIV,8000,34.20225
DIV,9000,57.3806
THE_WOR_DIV,9000,77.9636
THE_BES_DIV,9000,38.9818
DIV,10000,67.6278
THE_WOR_DIV,10000,87.6287
THE_BES_DIV,10000,43.81435
